23:31:16.159 **********  A1  **********
23:31:16.194 39, 1647117076168, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
23:31:16.207 39, 1647117076204, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
23:31:16.209 39, 1647117076207, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
23:31:16.210 39, 1647117076209, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
23:31:16.211 39, 1647117076211, simStart
23:31:16.212 39, 1647117076212, name(agentA1)
23:31:16.213 39, 1647117076213, team(A)
23:31:16.214 39, 1647117076214, steps(750)
23:31:16.216 39, 1647117076215, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
23:31:16.216 39, 1647117076216, teamSize(1)
23:31:16.360 **********  A1  **********
23:31:16.361 41, 1647117076360, simStart
23:31:16.361 41, 1647117076361, deadline(1647117080217)
23:31:16.362 41, 1647117076361, thing(0,5,obstacle,)
23:31:16.362 41, 1647117076362, thing(-2,2,obstacle,)
23:31:16.363 41, 1647117076362, thing(0,3,obstacle,)
23:31:16.363 41, 1647117076363, thing(-4,1,obstacle,)
23:31:16.363 41, 1647117076363, deactivated(false)
23:31:16.363 41, 1647117076363, thing(0,1,obstacle,)
23:31:16.364 41, 1647117076363, thing(-2,0,obstacle,)
23:31:16.364 41, 1647117076364, thing(2,0,obstacle,)
23:31:16.364 41, 1647117076364, thing(2,-2,obstacle,)
23:31:16.365 41, 1647117076365, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
23:31:16.366 41, 1647117076365, thing(4,-1,obstacle,)
23:31:16.366 41, 1647117076366, thing(4,1,obstacle,)
23:31:16.368 41, 1647117076366, task(task0,137,10,[req(0,1,b2)])
23:31:16.368 41, 1647117076368, step(0)
23:31:16.368 41, 1647117076368, lastActionParams([])
23:31:16.368 41, 1647117076368, lastActionResult()
23:31:16.369 41, 1647117076369, requestAction
23:31:16.369 41, 1647117076369, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
23:31:16.370 41, 1647117076369, timestamp(1647117076213)
23:31:16.371 41, 1647117076371, thing(-1,4,obstacle,)
23:31:16.371 41, 1647117076371, thing(-3,1,obstacle,)
23:31:16.371 41, 1647117076371, thing(-1,2,obstacle,)
23:31:16.372 41, 1647117076371, thing(-5,0,obstacle,)
23:31:16.372 41, 1647117076372, thing(1,3,obstacle,)
23:31:16.372 41, 1647117076372, thing(-1,0,obstacle,)
23:31:16.373 41, 1647117076373, thing(1,1,obstacle,)
23:31:16.374 41, 1647117076374, thing(3,-2,obstacle,)
23:31:16.375 41, 1647117076374, thing(3,0,obstacle,)
23:31:16.376 41, 1647117076375, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
23:31:16.376 41, 1647117076376, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
23:31:16.376 41, 1647117076376, thing(-4,0,obstacle,)
23:31:16.377 41, 1647117076377, thing(-2,1,obstacle,)
23:31:16.377 41, 1647117076377, thing(0,4,obstacle,)
23:31:16.378 41, 1647117076377, thing(-2,3,obstacle,)
23:31:16.378 41, 1647117076378, steps(750)
23:31:16.378 41, 1647117076378, thing(0,2,obstacle,)
23:31:16.379 41, 1647117076378, thing(2,1,obstacle,)
23:31:16.379 41, 1647117076379, thing(2,-1,obstacle,)
23:31:16.380 41, 1647117076379, thing(2,-3,obstacle,)
23:31:16.380 41, 1647117076380, thing(4,0,obstacle,)
23:31:16.381 41, 1647117076380, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
23:31:16.381 41, 1647117076381, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
23:31:16.381 41, 1647117076381, thing(0,0,entity,A)
23:31:16.382 41, 1647117076381, thing(-3,0,obstacle,)
23:31:16.382 41, 1647117076382, role(default)
23:31:16.382 41, 1647117076382, thing(1,4,obstacle,)
23:31:16.383 41, 1647117076383, thing(-1,3,obstacle,)
23:31:16.383 41, 1647117076383, thing(-3,2,obstacle,)
23:31:16.384 41, 1647117076384, thing(1,2,obstacle,)
23:31:16.384 41, 1647117076384, thing(-1,1,obstacle,)
23:31:16.385 41, 1647117076384, norm(n1,10,198,[requirement(role,digger,1,)],14)
23:31:16.386 41, 1647117076386, score(0)
23:31:16.386 41, 1647117076386, thing(1,0,obstacle,)
23:31:16.386 41, 1647117076386, thing(3,-1,obstacle,)
23:31:16.387 41, 1647117076386, thing(5,0,obstacle,)
23:31:16.387 41, 1647117076387, thing(3,1,obstacle,)
23:31:16.387 41, 1647117076387, energy(100)
23:31:16.387 41, 1647117076387, name(agentA1)
23:31:16.387 41, 1647117076387, team(A)
23:31:16.388 41, 1647117076388, lastAction()
23:31:16.388 41, 1647117076388, teamSize(1)
23:31:16.389 41, 1647117076388, actionID(0)
23:31:16.457 $$$$$ RULE EXECUTION : If simulation starts for the first time : move randomly : e
23:31:16.687 **********  A1  **********
23:31:16.688 44, 1647117076687, lastActionParams([e])
23:31:16.688 44, 1647117076688, simStart
23:31:16.689 44, 1647117076688, thing(0,5,obstacle,)
23:31:16.689 44, 1647117076689, thing(-2,2,obstacle,)
23:31:16.689 44, 1647117076689, lastAction(move)
23:31:16.690 44, 1647117076690, thing(0,3,obstacle,)
23:31:16.690 44, 1647117076690, thing(-4,1,obstacle,)
23:31:16.690 44, 1647117076690, deactivated(false)
23:31:16.691 44, 1647117076691, thing(0,1,obstacle,)
23:31:16.691 44, 1647117076691, thing(-2,0,obstacle,)
23:31:16.691 44, 1647117076691, lastActionResult(failed_path)
23:31:16.692 44, 1647117076692, thing(2,0,obstacle,)
23:31:16.692 44, 1647117076692, thing(2,-2,obstacle,)
23:31:16.693 44, 1647117076692, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
23:31:16.693 44, 1647117076693, thing(4,-1,obstacle,)
23:31:16.693 44, 1647117076693, thing(4,1,obstacle,)
23:31:16.694 44, 1647117076693, task(task0,137,10,[req(0,1,b2)])
23:31:16.694 44, 1647117076694, timestamp(1647117076582)
23:31:16.694 44, 1647117076694, deadline(1647117080596)
23:31:16.695 44, 1647117076695, step(1)
23:31:16.695 44, 1647117076695, requestAction
23:31:16.695 44, 1647117076695, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
23:31:16.696 44, 1647117076695, thing(-1,4,obstacle,)
23:31:16.696 44, 1647117076696, thing(-3,1,obstacle,)
23:31:16.696 44, 1647117076696, thing(-1,2,obstacle,)
23:31:16.696 44, 1647117076696, thing(-5,0,obstacle,)
23:31:16.697 44, 1647117076697, thing(1,3,obstacle,)
23:31:16.697 44, 1647117076697, thing(-1,0,obstacle,)
23:31:16.697 44, 1647117076697, thing(1,1,obstacle,)
23:31:16.698 44, 1647117076698, thing(3,-2,obstacle,)
23:31:16.698 44, 1647117076698, thing(3,0,obstacle,)
23:31:16.698 44, 1647117076698, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
23:31:16.699 44, 1647117076698, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
23:31:16.699 44, 1647117076699, thing(-4,0,obstacle,)
23:31:16.700 44, 1647117076699, thing(-2,1,obstacle,)
23:31:16.701 44, 1647117076701, thing(0,4,obstacle,)
23:31:16.701 44, 1647117076701, thing(-2,3,obstacle,)
23:31:16.701 44, 1647117076701, steps(750)
23:31:16.702 44, 1647117076702, thing(0,2,obstacle,)
23:31:16.702 44, 1647117076702, thing(2,1,obstacle,)
23:31:16.702 44, 1647117076702, thing(2,-1,obstacle,)
23:31:16.703 44, 1647117076703, thing(2,-3,obstacle,)
23:31:16.703 44, 1647117076703, thing(4,0,obstacle,)
23:31:16.703 44, 1647117076703, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
23:31:16.703 44, 1647117076703, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
23:31:16.704 44, 1647117076704, thing(0,0,entity,A)
23:31:16.704 44, 1647117076704, actionID(1)
23:31:16.704 44, 1647117076704, thing(-3,0,obstacle,)
23:31:16.705 44, 1647117076705, role(default)
23:31:16.705 44, 1647117076705, thing(1,4,obstacle,)
23:31:16.706 44, 1647117076706, thing(-1,3,obstacle,)
23:31:16.706 44, 1647117076706, thing(-3,2,obstacle,)
23:31:16.706 44, 1647117076706, thing(1,2,obstacle,)
23:31:16.707 44, 1647117076706, thing(-1,1,obstacle,)
23:31:16.707 44, 1647117076707, norm(n1,10,198,[requirement(role,digger,1,)],14)
23:31:16.707 44, 1647117076707, score(0)
23:31:16.708 44, 1647117076708, thing(1,0,obstacle,)
23:31:16.708 44, 1647117076708, thing(3,-1,obstacle,)
23:31:16.708 44, 1647117076708, thing(5,0,obstacle,)
23:31:16.709 44, 1647117076709, thing(3,1,obstacle,)
23:31:16.709 44, 1647117076709, energy(100)
23:31:16.709 44, 1647117076709, name(agentA1)
23:31:16.710 44, 1647117076709, team(A)
23:31:16.710 44, 1647117076710, teamSize(1)
23:31:20.851 **********  A1  **********
23:31:20.852 83, 1647117080851, simStart
23:31:20.852 83, 1647117080852, thing(0,5,obstacle,)
23:31:20.852 83, 1647117080852, thing(-2,2,obstacle,)
23:31:20.852 83, 1647117080852, thing(0,3,obstacle,)
23:31:20.852 83, 1647117080852, thing(-4,1,obstacle,)
23:31:20.852 83, 1647117080852, deactivated(false)
23:31:20.853 83, 1647117080852, thing(0,1,obstacle,)
23:31:20.853 83, 1647117080853, thing(-2,0,obstacle,)
23:31:20.853 83, 1647117080853, thing(2,0,obstacle,)
23:31:20.853 83, 1647117080853, thing(2,-2,obstacle,)
23:31:20.853 83, 1647117080853, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
23:31:20.853 83, 1647117080853, thing(4,-1,obstacle,)
23:31:20.853 83, 1647117080853, thing(4,1,obstacle,)
23:31:20.854 83, 1647117080854, task(task0,137,10,[req(0,1,b2)])
23:31:20.854 83, 1647117080854, step(2)
23:31:20.854 83, 1647117080854, lastActionParams([])
23:31:20.854 83, 1647117080854, requestAction
23:31:20.854 83, 1647117080854, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
23:31:20.854 83, 1647117080854, thing(-1,4,obstacle,)
23:31:20.855 83, 1647117080855, thing(-3,1,obstacle,)
23:31:20.855 83, 1647117080855, thing(-1,2,obstacle,)
23:31:20.855 83, 1647117080855, thing(-5,0,obstacle,)
23:31:20.855 83, 1647117080855, lastActionResult(success)
23:31:20.855 83, 1647117080855, thing(1,3,obstacle,)
23:31:20.856 83, 1647117080855, thing(-1,0,obstacle,)
23:31:20.856 83, 1647117080856, thing(1,1,obstacle,)
23:31:20.856 83, 1647117080856, thing(3,-2,obstacle,)
23:31:20.856 83, 1647117080856, thing(3,0,obstacle,)
23:31:20.856 83, 1647117080856, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
23:31:20.856 83, 1647117080856, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
23:31:20.856 83, 1647117080856, thing(-4,0,obstacle,)
